path,true_label,pred_label,confidence
/kaggle/working/Garbage-Classification-System/split_data/test/metal/TACO_batch_9_000090_crop34.jpg,metal,plastic,0.5776224732398987
/kaggle/working/Garbage-Classification-System/split_data/test/paper/GD_paper_381.jpg,paper,plastic,0.47160032391548157
/kaggle/working/Garbage-Classification-System/split_data/test/paper/GD_paper_82.jpg,paper,cardboard,0.8139474391937256
/kaggle/working/Garbage-Classification-System/split_data/test/paper/TACO_batch_10_000011_crop89.jpg,paper,cardboard,0.4918546676635742
/kaggle/working/Garbage-Classification-System/split_data/test/paper/TACO_batch_10_000088_crop35.jpg,paper,cardboard,0.8920021057128906
/kaggle/working/Garbage-Classification-System/split_data/test/paper/TACO_batch_1_000060_crop85.jpg,paper,metal,0.38431915640830994
/kaggle/working/Garbage-Classification-System/split_data/test/paper/TACO_batch_2_000030_crop66.jpg,paper,trash,0.7041528224945068
/kaggle/working/Garbage-Classification-System/split_data/test/paper/TACO_batch_3_IMG_5067_crop182.jpg,paper,cardboard,0.9235929846763611
/kaggle/working/Garbage-Classification-System/split_data/test/paper/TACO_batch_7_000048_crop76.jpg,paper,cardboard,0.8436571359634399
/kaggle/working/Garbage-Classification-System/split_data/test/paper/TACO_batch_7_000086_crop78.jpg,paper,trash,0.2765783667564392
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/GD_plastic_384.jpg,plastic,cardboard,0.5362094044685364
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/GD_plastic_406.jpg,plastic,paper,0.8243817090988159
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/GD_plastic_496.jpg,plastic,paper,0.8490656614303589
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/GD_plastic_507.jpg,plastic,battery,0.49067044258117676
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/GD_plastic_781.jpg,plastic,metal,0.5442392230033875
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_10_000090_crop117.jpg,plastic,trash,0.49287232756614685
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_10_000093_crop157.jpg,plastic,trash,0.901060938835144
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_12_000034_crop215.jpg,plastic,metal,0.7078596949577332
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_12_000062_crop128.jpg,plastic,cardboard,0.6679210662841797
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_13_000025_crop30.jpg,plastic,paper,0.3523182272911072
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_13_000059_crop109.jpg,plastic,glass,0.830696702003479
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_13_000076_crop217.jpg,plastic,cardboard,0.8573139905929565
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_15_000024_crop94.jpg,plastic,cardboard,0.41946497559547424
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_4_000036_crop12.jpg,plastic,cardboard,0.8413569331169128
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_5_000057_crop22.jpg,plastic,paper,0.8260835409164429
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_5_000098_crop156.jpg,plastic,cardboard,0.7830302715301514
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_7_000030_crop129.jpg,plastic,glass,0.8174799680709839
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_7_000078_crop74.jpg,plastic,metal,0.4645051062107086
/kaggle/working/Garbage-Classification-System/split_data/test/plastic/TACO_batch_9_000091_crop0.jpg,plastic,glass,0.8319786787033081
/kaggle/working/Garbage-Classification-System/split_data/test/trash/GD_trash_113.jpg,trash,plastic,0.8632587194442749
/kaggle/working/Garbage-Classification-System/split_data/test/trash/GD_trash_212.jpg,trash,paper,0.9347549676895142
/kaggle/working/Garbage-Classification-System/split_data/test/trash/GD_trash_222.jpg,trash,metal,0.4048974812030792
/kaggle/working/Garbage-Classification-System/split_data/test/trash/GD_trash_431.jpg,trash,plastic,0.6869484782218933
/kaggle/working/Garbage-Classification-System/split_data/test/trash/TACO_batch_10_000050_crop56.jpg,trash,plastic,0.5142902135848999
/kaggle/working/Garbage-Classification-System/split_data/test/trash/TACO_batch_10_000090_crop137.jpg,trash,plastic,0.47347936034202576
/kaggle/working/Garbage-Classification-System/split_data/test/trash/TACO_batch_10_000096_crop227.jpg,trash,metal,0.7815908193588257
/kaggle/working/Garbage-Classification-System/split_data/test/trash/TACO_batch_11_000091_crop219.jpg,trash,paper,0.500824511051178
/kaggle/working/Garbage-Classification-System/split_data/test/trash/TACO_batch_12_000032_crop45.jpg,trash,paper,0.5808494091033936
/kaggle/working/Garbage-Classification-System/split_data/test/trash/TACO_batch_12_000037_crop184.jpg,trash,cardboard,0.36970847845077515
/kaggle/working/Garbage-Classification-System/split_data/test/trash/TACO_batch_5_000002_crop239.jpg,trash,paper,0.8605316281318665
/kaggle/working/Garbage-Classification-System/split_data/test/trash/TACO_batch_6_000072_crop141.jpg,trash,glass,0.4920702576637268
/kaggle/working/Garbage-Classification-System/split_data/test/trash/TACO_batch_8_000051_crop124.jpg,trash,glass,0.2022801637649536
